index	ms_level	rt
1	1	0.0004513994666667
2	1	0.004612260267
3	2	0.005680474933
4	2	0.007970217333
5	2	0.010455646933
6	2	0.012559557867
7	2	0.014663397067
8	2	0.0167737344
9	2	0.0188820456
10	2	0.020992830667
11	2	0.0231027208
12	2	0.0252109304
13	2	0.027321275467
14	2	0.029429502933
15	2	0.031548255733
16	2	0.033658512267
17	1	0.035758281333
18	2	0.037802237067
19	2	0.040091806667
20	2	0.042462466933
21	2	0.044566624
22	2	0.046674747733
23	2	0.048789407467
24	2	0.050897516533
25	2	0.053005756
26	2	0.055113994933
27	2	0.057224337333
28	2	0.059332589867
29	2	0.061440828533
30	2	0.063559576
31	1	0.065657128
32	2	0.0676116424
33	2	0.069901105867
34	2	0.0722343264
35	2	0.074336253067
36	2	0.0764443952
37	2	0.078552725067
38	1	0.080656794933
39	1	0.085494392267
40	1	0.089496307467
41	2	0.090537697333
42	1	0.093464755733
43	2	0.094752428533
44	1	0.0977248928
45	2	0.0989690456
46	2	0.101256168
47	1	0.103595648
48	1	0.108232853067
49	2	0.109268209333
50	1	0.112170249867
51	2	0.113480961867
52	1	0.116366017067
53	1	0.120649028267
54	2	0.121680337867
55	1	0.1245739056
56	2	0.1258948424
57	2	0.128180508
58	1	0.130584072533
59	2	0.1322321472
60	2	0.134517517867
61	1	0.1368735224
62	2	0.1385591592
63	1	0.1414983008
64	2	0.142771607733
65	2	0.145059084267
66	2	0.1474064976
67	2	0.149510679467
68	2	0.1516208304
69	2	0.153729054667
70	1	0.155826728267
71	2	0.15776232
72	2	0.160049846133
73	2	0.162416358933
74	2	0.164532836
75	1	0.166630495733
76	2	0.168564036
77	2	0.170853728
78	2	0.173184760267
79	2	0.175288650133
80	2	0.177396894133
81	2	0.179505319467
82	2	0.1816134976
83	2	0.183721838667
84	2	0.1858301632
85	1	0.187929712533
86	2	0.189865350667
87	2	0.192152925867
88	1	0.194502525867
89	1	0.199198192
90	2	0.200225288
91	2	0.202519468533
92	2	0.2048647496
93	2	0.206968790133
94	1	0.209068658667
95	2	0.211004404533
96	2	0.213289583733
97	2	0.215603956
98	2	0.217705815733
99	1	0.219803476533
100	2	0.221737306667
101	1	0.224638846933
102	2	0.225949626667
103	2	0.228236885067
104	1	0.231136472
105	2	0.232284460533
106	2	0.234572249867
107	2	0.236913516267
108	2	0.2390195856
109	2	0.2411299896
110	2	0.243238207467
111	2	0.245348758133
112	1	0.2474503648
113	2	0.2493839984
114	2	0.251675826933
115	2	0.254046207467
116	2	0.256152310933
117	2	0.2582629096
118	1	0.260360398667
119	2	0.2622958656
120	2	0.2645834432
121	2	0.266935573067
122	2	0.269041387733
123	2	0.271149617067
124	2	0.2732599672
125	2	0.275368276267
126	2	0.277476538933
127	1	0.2795765152
128	2	0.281512091467
129	2	0.283797280267
130	2	0.2861410288
131	2	0.288244853333
132	2	0.2903552296
133	2	0.292465538133
134	1	0.294563172
135	2	0.296498804267
136	2	0.298786271467
137	2	0.301134082667
138	2	0.303235935467
