pcc	spc	cos	kdt	SA
0.56253856	0.4710458074931204	0.6471083	0.37087288910820504	0.44804376
0.9603942	0.8850678844914982	0.9698613	0.7550830668194703	0.8433054
0.44956446	0.22829811938438924	0.5963908	0.2723925280643992	0.40679824
0.51686096	0.437058651274782	0.5751455	0.3847067025237698	0.39010912
0.5803997	0.23939728624219217	0.64635843	0.21021588732935026	0.44741786
0.98869336	0.9079455637530837	0.991434	0.7745487794775863	0.9166136
0.08835381	0.03371018248121024	0.24187738	0.022555498415031947	0.1555264
0.93290997	0.396155139440663	0.9357829	0.3303417592750543	0.7706111
0.6460904	0.5156130268525598	0.7020276	0.4022651301511412	0.49544346
0.67755175	0.4436600144109445	0.72760427	0.3574860804126097	0.51873255
0.9595968	0.8161194293196214	0.9665921	0.6659053959686491	0.8349801
0.9825759	0.883259651227333	0.9839921	0.7369721143508727	0.8859374
0.8868691	0.9305901345707959	0.91585803	0.7888973582946386	0.7369764
0.95535934	0.9007043082009989	0.9701655	0.7587939237896785	0.8441021
0.8902333	0.7847800398799314	0.90516376	0.6256441850865452	0.7205039
0.8327377	0.8540976822252382	0.8962145	0.6658954564731934	0.7073873
0.98234546	0.7986970913945458	0.9845288	0.6474599607698884	0.8878707
0.931299	0.8571429137722725	0.9476428	0.714294732987797	0.7930828
0.95651627	0.7668740891152227	0.96346134	0.6107994818782878	0.8273754
0.91792846	0.8592860845079575	0.9391922	0.7308516567294243	0.77684814
0.978127	0.8650529056827552	0.9811622	0.720294057598537	0.87623596
0.9363977	0.574899151148499	0.9453999	0.4494726219040971	0.78865695
0.90003026	0.8738532621163301	0.9210325	0.727335312946745	0.74530554
0.9672668	0.9154793176571746	0.97393686	0.7842289302333948	0.85433465
0.9389586	0.899944959830984	0.9565432	0.7704388568682939	0.811631
0.8656329	0.7372625022681929	0.89241564	0.5857195800045956	0.701982
0.97381985	0.873467817998902	0.98003995	0.7258654827777292	0.8725908
0.77426875	0.7343438009145279	0.8148443	0.5799325019042284	0.6063552
0.975508	0.8822382362600822	0.9804766	0.7397360613802021	0.87399673
0.94940054	0.9574818004905835	0.9688703	0.8371863886159552	0.8407367
0.830958	0.8645209382367325	0.8656452	0.686080571617622	0.6661829
0.9396932	0.8511590371651235	0.9494229	0.6764965593537637	0.79666144
0.92958295	0.7375519495802099	0.95077085	0.5916137443009981	0.79941237
0.8633067	0.8881045050770278	0.91774875	0.719029866924804	0.7399906
0.8885566	0.8790790322716215	0.9133583	0.7157462809598335	0.7330405
0.9265191	0.8521890565951945	0.9449314	0.6886862722133775	0.7877437
0.952407	0.908504839075103	0.96606135	0.7556851198132345	0.83366704
0.9914096	0.8849940549406383	0.9924238	0.7482122980430698	0.92158556
