pcc	spc	cos	kdt	SA
0.98824406	0.9636363636363637	0.9952842	0.8909090909090909	0.93814945
0.9830934	0.9636363636363637	0.9932419	0.8909090909090909	0.9259454
0.9967916	0.9636363636363637	0.99862397	0.8909090909090909	0.966599
0.99630225	0.9892857142857142	0.99782616	0.961904761904762	0.9580156
0.99201703	0.9892857142857142	0.9951089	0.961904761904762	0.93700945
0.98770905	0.9705882352941176	0.9913603	0.9	0.9162553
0.8112829	0.8060599359358183	0.8924329	0.6789028582272216	0.70200646
0.9887591	0.9785714285714284	0.990154	0.9047619047619049	0.91059095
0.98968214	0.9545454545454546	0.99557	0.8545454545454545	0.9400544
0.9928176	0.9545454545454546	0.99691343	0.8545454545454545	0.94996834
0.9868589	0.9545454545454546	0.9944925	0.8545454545454545	0.93315434
0.99550337	0.9636363636363637	0.9980474	0.8909090909090909	0.96021026
0.99657387	0.9636363636363637	0.9985791	0.8909090909090909	0.96605855
0.99236304	0.9297674615018169	0.994276	0.8336940056433746	0.93185204
0.9917127	0.9818181818181818	0.99604654	0.9272727272727274	0.9433726
0.9672273	0.9454545454545454	0.9865422	0.8181818181818182	0.8954389
0.7263134	0.7608220194556026	0.8626026	0.6238794669049376	0.66233414
0.9629732	0.8909090909090911	0.9861754	0.7454545454545454	0.8940203
0.97315276	0.9181818181818183	0.98971075	0.8181818181818182	0.90859705
0.6474184	0.7061521737462181	0.7737949	0.587180674734059	0.56328785
0.97891	0.9272727272727275	0.99154776	0.8181818181818182	0.91717005
0.97466075	0.990909090909091	0.99044526	0.9636363636363636	0.9119253
0.8843554	0.9	0.9492849	0.7454545454545454	0.79638183
0.9283658	0.8967590638830794	0.96239144	0.7511150305870526	0.82485044
0.98922384	0.9818181818181818	0.99591506	0.9272727272727274	0.94243795
0.9804866	0.9181818181818183	0.9897867	0.8181818181818182	0.90893555
0.9774932	0.9090909090909091	0.9878783	0.7818181818181819	0.90077615
0.7968876	0.9020524542048464	0.900264	0.7706746355884524	0.71325326
0.99726784	0.9352941176470588	0.9979528	0.8333333333333333	0.95925754
0.98120755	0.9526366627921061	0.98901665	0.8803928527035957	0.90555894
0.9848239	0.9636363636363637	0.9938375	0.8909090909090909	0.92928725
0.9626694	0.8883849927775	0.98552656	0.7706746355884524	0.89155585
0.9488795	0.9363636363636365	0.9795919	0.8181818181818182	0.87116385
0.83161044	0.9272727272727275	0.90702987	0.7818181818181819	0.72331196
0.99732745	0.990909090909091	0.9987948	0.9636363636363636	0.9687414
0.9933509	1.0	0.9971629	1.0	0.95203364
0.99413466	1.0	0.9974195	1.0	0.9542551
0.8592126	0.8899457101438083	0.9407379	0.7853554716071041	0.77973163
0.6398381	0.6514035610330966	0.8535068	0.4861724348043977	0.65105736
0.9985707	0.990909090909091	0.99927807	0.9636363636363636	0.97580814
0.90984035	0.9272727272727275	0.9594952	0.7818181818181819	0.8181868
0.9902202	0.9818181818181818	0.9954137	0.9272727272727274	0.9390054
0.82570946	0.8807710121010885	0.91365683	0.7479575920067657	0.73350775
0.8007471	0.9768982809108382	0.8841268	0.9060911769801211	0.6904917
0.90199053	0.9025919600563106	0.9423402	0.7464200272921789	0.7827594
0.9945011	0.9956043956043955	0.99640286	0.9780219780219781	0.9459863
0.9913417	0.9526366627921061	0.9918144	0.842114902586048	0.91848874
0.99820733	0.9857142857142854	0.99855685	0.9428571428571428	0.96579397
0.99040735	0.98838287903196	0.99054027	0.9378097778799172	0.912365
0.99490684	0.9636363636363637	0.99783385	0.8909090909090909	0.95808995
0.865027	0.870161710874372	0.9432533	0.7339758434175737	0.78450316
0.98687476	0.990909090909091	0.9943701	0.9636363636363636	0.9324151
0.9890176	0.990909090909091	0.99504083	0.9636363636363636	0.9365723
0.9816705	0.990909090909091	0.991835	0.9636363636363636	0.9185916
0.9974635	0.990909090909091	0.9984699	0.9636363636363636	0.9647782
0.99630547	0.990909090909091	0.99818635	0.9636363636363636	0.96165246
0.99613416	0.961764705882353	0.99701554	0.8833333333333333	0.9508033
0.97809935	0.9780219780219781	0.98629576	0.9120879120879122	0.8944836
0.9985086	1.0	0.9993225	1.0	0.97656405
0.99906594	0.990909090909091	0.99958384	0.9636363636363636	0.98163295
0.99873734	0.990909090909091	0.9993153	0.9636363636363636	0.97644067
0.9990622	0.9636363636363637	0.9992864	0.8909090909090909	0.9759484
0.9660871	0.9545454545454546	0.9861455	0.8545454545454545	0.8939054
0.9925008	0.926644502314687	0.9964826	0.8227533512074424	0.94658875
0.9920027	0.9886130432447054	0.99654764	0.9541685964428458	0.9470851
0.85347867	0.8440722199302099	0.9392687	0.6731618328060892	0.77699006
0.83744746	0.8181818181818182	0.9119094	0.6727272727272727	0.73078406
0.9471834	0.8207938027288889	0.9681691	0.6957252427829381	0.8389434
0.9787426	0.9636363636363637	0.98932046	0.8545454545454545	0.9068766
0.99661493	1.0	0.9980911	1.0	0.9606581
0.9942625	0.9886130432447054	0.99770355	0.9541685964428458	0.9568474
0.9928747	0.9818181818181818	0.9972456	0.9272727272727274	0.9527385
0.99201137	0.961278120390013	0.9967138	0.8807710121010884	0.948375
0.83508956	0.9248315565837565	0.9096954	0.8073734277593311	0.7273699
0.90918696	0.952166479438449	0.95665485	0.8440722199302098	0.8118749
0.9710852	0.9727272727272729	0.98931336	0.8909090909090909	0.9068456
0.98697335	0.9977246841962695	0.9951699	0.9908673886137245	0.9374036
0.97304267	0.9636363636363637	0.9895695	0.8909090909090909	0.90797067
0.6163319	0.8974966337290643	0.72885305	0.7706746355884524	0.5198926
0.92428136	0.9	0.97181493	0.7454545454545454	0.84849393
0.594274	0.8545454545454546	0.71749234	0.6727272727272727	0.5094204
0.9904315	1.0	0.9965246	1.0	0.9469085
0.9933212	1.0	0.99754155	1.0	0.95535064
0.9900191	1.0	0.9963597	1.0	0.94566303
0.9341362	0.9181818181818183	0.9655871	0.7818181818181819	0.8325021
0.9811726	0.9818181818181818	0.9928727	0.9272727272727274	0.92394716
0.9824044	0.9725179925282853	0.9933406	0.8975491104081189	0.92648876
0.9620957	0.9449938984001262	0.984308	0.8227533512074424	0.88707143
0.9979666	0.9780219780219781	0.9988833	0.9340659340659341	0.9699114
0.9974029	0.9780219780219781	0.9985231	0.9340659340659341	0.96539634
0.9905335	0.9714285714285713	0.9931278	0.8857142857142857	0.92532223
0.99028045	0.9892857142857142	0.9915848	0.9428571428571428	0.9173519
0.98821485	0.9856694137573991	0.9910164	0.9276336570439175	0.9146023
0.98998106	0.9607142857142855	0.9931344	0.8666666666666667	0.92535794
0.9923034	0.9856694137573991	0.99228334	0.9469593582323325	0.92086124
0.99848235	0.98838287903196	0.99907506	0.9378097778799172	0.9726167
0.8392798	0.9339431975353206	0.9029824	0.8440722199302098	0.7172545
0.94462323	0.9272727272727275	0.96901923	0.8181818181818182	0.8411201
0.92969215	0.9430548384868849	0.9663008	0.8807710121010884	0.83425814
0.87749803	0.8909090909090911	0.94210213	0.8181818181818182	0.782307
0.9763993	0.9636363636363637	0.98942006	0.8909090909090909	0.90731263
0.9937572	0.9203579866168444	0.99549574	0.8017519989412359	0.9395536
0.98641586	0.9722970817240257	0.9915209	0.8995318277623696	0.91703826
0.97088975	0.9818181818181818	0.9878465	0.9272727272727274	0.9006457
0.40512654	0.2558831578595795	0.5116863	0.1733656789191194	0.34195805
0.9961668	1.0	0.99839133	1.0	0.96388507
0.9939368	0.9818181818181818	0.99732906	0.9272727272727274	0.9534602
0.9810543	0.9795014022931412	0.992829	0.9174698042719671	0.92371416
0.9814772	0.952166479438449	0.9903867	0.8440722199302098	0.91165555
0.96321684	0.9090909090909091	0.9833673	0.7818181818181819	0.8837267
0.9983815	1.0	0.9992486	1.0	0.9753197
0.97382593	1.0	0.9882707	1.0	0.90239847
0.9923577	1.0	0.99657977	1.0	0.947332
0.90210843	0.9454545454545454	0.9574195	0.8181818181818182	0.81355375
