,Identified localized phospho-peptides,Identified PSMs
MaxQuant,24412,35052
MaxQuant_all,31818,45908
CPTAC1,31462,46949
CPTAC1_all,37542,56431
CPTAC2,20200,29035
CPTAC2_all,24856,36440
CDAP,14326,18629
CDAP_all,32382,42424
